,Name,PID
96,Peter Bourjos,bourjpe01
97,Brad Boxberger,boxbebr01
98,Brad Brach,brachbr01
99,Jackie Bradley Jr.,bradlja02
100,Michael Brantley,brantmi02
101,Ryan Braun,braunry02
102,Zack Britton,brittza01
103,Rex Brothers,brothre01
104,Domonic Brown,browndo01
105,Jay Bruce,bruceja01
106,Kris Bryant,bryankr01
107,Clay Buchholz,buchhcl01
108,Madison Bumgarner,bumgama01
109,Sean Burnett,burnese01
110,Javier Baez,baezja01
111,Pedro Baez,baezpe01
112,Homer Bailey,baileho02
113,Trevor Bauer,bauertr01
114,Gordon Beckham,beckhgo01
115,Ronald Belisario,belisro01
116,Brandon Belt,beltbr01
117,Dellin Betances,betande01
118,Chad Bettis,bettich01
119,Mookie Betts,bettsmo01
120,Charlie Blackmon,blackch02
121,Andres Blanco,blancan01
122,Gregor Blanco,blancgr01
123,Jerry Blevins,blevije01
124,Xander Bogaerts,bogaexa01
125,Emilio Bonifacio,bonifem01
126,Justin Bour,bourju01
127,Peter Bourjos,bourjpe01
128,Brad Boxberger,boxbebr01
129,Brad Brach,brachbr01
130,Jackie Bradley Jr.,bradlja02
131,Michael Brantley,brantmi02
132,Ryan Braun,braunry02
133,Zack Britton,brittza01
134,Rex Brothers,brothre01
135,Domonic Brown,browndo01
136,Jay Bruce,bruceja01
137,Kris Bryant,bryankr01
138,Clay Buchholz,buchhcl01
139,Madison Bumgarner,bumgama01
140,Sean Burnett,burnese01
141,Asdrubal Cabrera,cabreas01
142,Melky Cabrera,cabreme01
143,Miguel Cabrera,cabremi01
144,Trevor Cahill,cahiltr01
145,Lorenzo Cain,cainlo01
146,Kole Calhoun,calhoko01
147,Robinson Cano,canoro01
148,Jorge Cantu,cantujo01
149,Matt Carpenter,carpema01
150,Carlos Carrasco,carraca01
151,Chris Carter,cartech02
152,Andrew Cashner,cashnan01
153,Nicholas Castellanos,casteni01
154,Welington Castillo,castiwe01
155,Jason Castro,castrja01
156,Starlin Castro,castrst01
157,Brett Cecil,cecilbr01
158,Francisco Cervelli,cervefr01
159,Yoenis Cespedes,cespeyo01
160,Jhoulys Chacin,chacijh01
161,Aroldis Chapman,chapmar01
162,Tyler Chatwood,chatwty01
163,Jesse Chavez,chaveje01
164,Wei-Yin Chen,chenwe02
165,Lonnie Chisenhall,chiselo01
166,Shin-Soo Choo,choosh01
167,Steve Cishek,cishest01
168,Tyler Clippard,clippty01
169,Alex Cobb,cobbal01
170,Gerrit Cole,colege01
171,Patrick Corbin,corbipa01
172,Carlos Correa,correca01
173,Zack Cozart,cozarza01
174,Brandon Crawford,crawfbr01
175,Nelson Cruz,cruzne02
176,Johnny Cueto,cuetojo01
177,Asdrubal Cabrera,cabreas01
178,Melky Cabrera,cabreme01
179,Miguel Cabrera,cabremi01
180,Trevor Cahill,cahiltr01
181,Lorenzo Cain,cainlo01
182,Kole Calhoun,calhoko01
183,Robinson Cano,canoro01
184,Jorge Cantu,cantujo01
185,Matt Carpenter,carpema01
186,Carlos Carrasco,carraca01
187,Chris Carter,cartech02
188,Andrew Cashner,cashnan01
189,Nicholas Castellanos,casteni01
190,Welington Castillo,castiwe01
191,Jason Castro,castrja01
192,Starlin Castro,castrst01
193,Brett Cecil,cecilbr01
194,Francisco Cervelli,cervefr01
195,Yoenis Cespedes,cespeyo01
196,Jhoulys Chacin,chacijh01
197,Aroldis Chapman,chapmar01
198,Tyler Chatwood,chatwty01
199,Jesse Chavez,chaveje01
200,Wei-Yin Chen,chenwe02
201,Lonnie Chisenhall,chiselo01
202,Shin-Soo Choo,choosh01
203,Steve Cishek,cishest01
204,Tyler Clippard,clippty01
205,Alex Cobb,cobbal01
206,Gerrit Cole,colege01
207,Patrick Corbin,corbipa01
208,Carlos Correa,correca01
209,Zack Cozart,cozarza01
210,Brandon Crawford,crawfbr01
211,Nelson Cruz,cruzne02
212,Johnny Cueto,cuetojo01
213,Asdrubal Cabrera,cabreas01
214,Melky Cabrera,cabreme01
215,Miguel Cabrera,cabremi01
216,Trevor Cahill,cahiltr01
217,Lorenzo Cain,cainlo01
218,Kole Calhoun,calhoko01
219,Robinson Cano,canoro01
220,Jorge Cantu,cantujo01
221,Matt Carpenter,carpema01
222,Carlos Carrasco,carraca01
223,Chris Carter,cartech02
224,Andrew Cashner,cashnan01
225,Nicholas Castellanos,casteni01
226,Welington Castillo,castiwe01
227,Jason Castro,castrja01
228,Starlin Castro,castrst01
229,Brett Cecil,cecilbr01
230,Francisco Cervelli,cervefr01
231,Yoenis Cespedes,cespeyo01
232,Jhoulys Chacin,chacijh01
233,Aroldis Chapman,chapmar01
234,Tyler Chatwood,chatwty01
235,Jesse Chavez,chaveje01
236,Wei-Yin Chen,chenwe02
237,Lonnie Chisenhall,chiselo01
238,Shin-Soo Choo,choosh01
239,Steve Cishek,cishest01
240,Tyler Clippard,clippty01
241,Alex Cobb,cobbal01
242,Gerrit Cole,colege01
243,Patrick Corbin,corbipa01
244,Carlos Correa,correca01
245,Zack Cozart,cozarza01
246,Brandon Crawford,crawfbr01
247,Nelson Cruz,cruzne02
248,Johnny Cueto,cuetojo01
249,Yu Darvish,darviyu01
250,Chris Davis,davisch02
251,Khris Davis,daviskh01
252,Rajai Davis,davisra01
253,Wade Davis,daviswa01
254,Jorge De La Rosa,rosajo01
255,Randall Delgado,delgara01
256,Daniel Descalso,descada01
257,Ian Desmond,desmoia01
258,Corey Dickerson,dickeco01
259,Jake Diekman,diekmja01
260,Derek Dietrich,dietrde01
261,Josh Donaldson,donaljo02
262,Sean Doolittle,doolise01
263,Brian Dozier,doziebr01
264,Lucas Duda,dudalu01
265,Brian Duensing,duensbr01
266,Danny Duffy,duffyda01
267,Zach Duke,dukeza01
268,Mike Dunn,dunnmi01
269,Adam Duvall,duvalad01
270,Jarrod Dyson,dysonja01
271,Jacob deGrom,degroja01
272,Yu Darvish,darviyu01
273,Chris Davis,davisch02
274,Khris Davis,daviskh01
275,Rajai Davis,davisra01
276,Wade Davis,daviswa01
277,Jorge De La Rosa,rosajo01
278,Randall Delgado,delgara01
279,Daniel Descalso,descada01
280,Ian Desmond,desmoia01
281,Corey Dickerson,dickeco01
282,Jake Diekman,diekmja01
283,Derek Dietrich,dietrde01
284,Josh Donaldson,donaljo02
285,Sean Doolittle,doolise01
286,Brian Dozier,doziebr01
287,Lucas Duda,dudalu01
288,Brian Duensing,duensbr01
289,Danny Duffy,duffyda01
290,Zach Duke,dukeza01
291,Mike Dunn,dunnmi01
292,Adam Duvall,duvalad01
293,Jarrod Dyson,dysonja01
294,Jacob deGrom,degroja01
295,Yu Darvish,darviyu01
296,Chris Davis,davisch02
297,Khris Davis,daviskh01
298,Rajai Davis,davisra01
299,Wade Davis,daviswa01
300,Jorge De La Rosa,rosajo01
301,Randall Delgado,delgara01
302,Daniel Descalso,descada01
303,Ian Desmond,desmoia01
304,Corey Dickerson,dickeco01
305,Jake Diekman,diekmja01
306,Derek Dietrich,dietrde01
307,Josh Donaldson,donaljo02
308,Sean Doolittle,doolise01
309,Brian Dozier,doziebr01
310,Lucas Duda,dudalu01
311,Brian Duensing,duensbr01
312,Danny Duffy,duffyda01
313,Zach Duke,dukeza01
314,Mike Dunn,dunnmi01
315,Adam Duvall,duvalad01
316,Jarrod Dyson,dysonja01
317,Jacob deGrom,degroja01
318,Adam Eaton,eatonad02
319,Jacoby Ellsbury,ellsbja01
320,Edwin Encarnacion,encared01
321,Nathan Eovaldi,eovalna01
322,Alcides Escobar,escobal02
323,Eduardo Escobar,escobed01
324,Danny Espinosa,espinda01
325,Marco Estrada,estrama01
326,Adam Eaton,eatonad02
327,Jacoby Ellsbury,ellsbja01
328,Edwin Encarnacion,encared01
329,Nathan Eovaldi,eovalna01
330,Alcides Escobar,escobal02
331,Eduardo Escobar,escobed01
332,Danny Espinosa,espinda01
333,Marco Estrada,estrama01
334,Adam Eaton,eatonad02
335,Jacoby Ellsbury,ellsbja01
336,Edwin Encarnacion,encared01
337,Nathan Eovaldi,eovalna01
338,Alcides Escobar,escobal02
339,Eduardo Escobar,escobed01
340,Danny Espinosa,espinda01
341,Marco Estrada,estrama01
342,Jeurys Familia,familje01
343,Mike Fiers,fiersmi01
344,Wilmer Flores,florewi01
345,Tyler Flowers,flowety01
346,Mike Foltynewicz,foltymi01
347,Logan Forsythe,forsylo01
348,Dexter Fowler,fowlede01
349,Todd Frazier,frazito01
350,Freddie Freeman,freemfr01
351,David Freese,freesda01
352,Jeurys Familia,familje01
353,Mike Fiers,fiersmi01
354,Wilmer Flores,florewi01
355,Tyler Flowers,flowety01
356,Mike Foltynewicz,foltymi01
357,Logan Forsythe,forsylo01
358,Dexter Fowler,fowlede01
359,Todd Frazier,frazito01
360,Freddie Freeman,freemfr01
361,David Freese,freesda01
362,Jeurys Familia,familje01
363,Mike Fiers,fiersmi01
364,Wilmer Flores,florewi01
